model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
height_piecewise,(Intercept),-55.91478107757393,37.37577388013834,-1.4960166779927813,0.1419534454997893,-131.29021270175198,19.460650546604136
height_piecewise,season_start,0.06792258436890435,0.018805334665233785,3.6118785216024736,7.899127359237626e-4,0.02999801264565878,0.10584715609214991
height_piecewise,post,-0.08379159340957867,0.020961961280361808,-3.997316486223965,2.471102975046964e-4,-0.12606541720420003,-0.04151776961495732
height_regime,(Intercept),24.791835230491074,21.283899587489724,1.164816396947449,0.25082607870526025,-18.19187199720472,67.77554245818686
height_regime,season_start,0.027225236576194863,0.010714779943895861,2.540904873338523,0.014937185077868034,0.005586299490233624,0.048864173662156105
height_regime,k1990,-0.006009656505081113,0.015551605398663836,-0.3864331913666901,0.7011741500751053,-0.037416760763820014,0.025397447753657793
height_regime,k2002,-0.029570204104603176,0.010414006132770303,-2.8394648253137715,0.007001343515980032,-0.050601716156160555,-0.008538692053045797
height_regime,shift2019,-0.6230386330029128,0.08253298502053504,-7.548965214912493,2.797212075452183e-9,-0.7897173776647077,-0.45635988834111796
jersey_height_cor_trend,(Intercept),17.87371757402899,0.9210119581476355,19.406607499404352,3.3970779564119936e-23,16.01753993790329,19.72989521015469
jersey_height_cor_trend,season_start,-0.008746932343276136,4.594368558013269e-4,-19.038377598201546,7.228653885739991e-23,-0.009672866484962525,-0.007820998201589746
