model,term,estimate,std.error,statistic,p.value,conf.low,conf.high
height_piecewise,(Intercept),-55.91478107761509,37.37577388015338,-1.4960166779932806,0.14195344549965958,-131.29021270182346,19.4606505465933
height_piecewise,season_start,0.06792258436892423,0.018805334665241327,3.6118785216020823,0.0007899127359246745,0.029998012645663465,0.10584715609218501
height_piecewise,post,-0.08379159340959785,0.020961961280369625,-3.9973164862233896,0.00024711029750513396,-0.12606541720423498,-0.041517769614960745
height_regime,(Intercept),24.791835230497327,21.28389958750086,1.1648163969471332,0.2508260787053866,-18.191871997220957,67.77554245821561
height_regime,season_start,0.02722523657619169,0.010714779943901461,2.5409048733368995,0.014937185077927741,0.005586299490219146,0.04886417366216424
height_regime,k1990,-0.006009656505078342,0.01555160539867038,-0.38643319136634935,0.7011741500753558,-0.03741676076383046,0.025397447753673773
height_regime,k2002,-0.029570204104605813,0.010414006132771826,-2.8394648253136094,0.007001343515983005,-0.050601716156166265,-0.00853869205304536
height_regime,shift2019,-0.6230386330029116,0.08253298502054425,-7.548965214911636,2.797212075459891e-9,-0.789717377664725,-0.4563598883410982
jersey_height_cor_trend,(Intercept),17.873717574028547,0.9210119581476742,19.406607499403055,3.3970779564209814e-23,16.017539937902768,19.729895210154325
jersey_height_cor_trend,season_start,-0.00874693234327591,0.00045943685580134637,-19.03837759820025,7.228653885759368e-23,-0.009672866484962338,-0.007820998201589482
