TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1610612739,1998,00,Wesley Person,Wesley,wesley-person,1,G-F,6-6,195,"MAR 28, 1971",28.0,4,Auburn,445,,0
1610612739,1998,00,Bob Sura,Bob,bob-sura,3,G,6-5,200,"MAR 25, 1973",26.0,3,Florida State,682,,0
1610612739,1998,00,Shawn Kemp,Shawn,shawn-kemp,4,F,6-10,280,"NOV 26, 1969",29.0,9,Concord HS (IN),431,,0
1610612739,1998,00,Earl Boykins,Earl,earl-boykins,5,G,5-5,145,"JUN 02, 1976",23.0,R,Eastern Michigan,1863,,0
1610612739,1998,00,Mitchell Butler,Mitchell,mitchell-butler,6,G,6-5,227,"DEC 15, 1970",28.0,5,UCLA,348,,0
1610612739,1998,00,Ryan Stack,Ryan,ryan-stack,10,F,6-11,215,"JUL 24, 1975",23.0,R,South Carolina,1756,,0
1610612739,1998,00,Johnny Newman,Johnny,johnny-newman,20,F,6-7,210,"NOV 28, 1963",35.0,12,Richmond,271,,0
1610612739,1998,00,Derek Anderson,Derek,derek-anderson,23,G,6-5,195,"JUL 18, 1974",24.0,1,Kentucky,1507,,0
1610612739,1998,00,Danny Ferry,Danny,danny-ferry,35,F,6-10,235,"OCT 17, 1966",32.0,8,Duke,198,,0
1610612739,1998,00,Cedric Henderson,Cedric,cedric-henderson,45,F,6-7,225,"MAR 11, 1975",24.0,1,Memphis,1538,,0
1610612739,1998,00,Andrew DeClercq,Andrew,andrew-declercq,55,F-C,6-10,230,"FEB 01, 1973",26.0,3,Florida,692,,0
