TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1610612760,1991,00,Dana Barros,Dana,dana-barros,11,G,5-11,165,"APR 13, 1967",25.0,2,Boston College,344,,0
1610612760,1991,00,Benoit Benjamin,Benoit,benoit-benjamin,00,C,7-0,250,"NOV 22, 1964",27.0,6,Creighton,104,,0
1610612760,1991,00,Tony Brown,Tony,tony-brown,21,F,6-6,185,"JUL 29, 1960",31.0,6,Arkansas,76268,,0
1610612760,1991,00,Michael Cage,Michael,michael-cage,44,C,6-9,224,"JAN 28, 1962",30.0,7,San Diego State,262,,0
1610612760,1991,00,Marty Conlon,Marty,marty-conlon,24,C,6-10,224,"JAN 19, 1968",24.0,R,Providence,55,,0
1610612760,1991,00,Quintin Dailey,Quintin,quintin-dailey,20,G,6-3,180,"JAN 22, 1961",31.0,9,San Francisco,76497,,0
1610612760,1991,00,Eddie Johnson,Eddie,eddie-johnson,,F,, ,"MAY 01, 1959",33.0,10,Illinois,698,,0
1610612760,1991,00,Shawn Kemp,Shawn,shawn-kemp,40,F,6-10,280,"NOV 26, 1969",22.0,2,Concord HS (IN),431,,0
1610612760,1991,00,Rich King,Rich,rich-king,25,C,7-2,260,"APR 04, 1969",23.0,R,Nebraska,1101,,0
1610612760,1991,00,Bart Kofoed,Bart,bart-kofoed,23,F,6-4,210,"MAR 24, 1964",28.0,3,Nebraska-Kearney,77294,,0
1610612760,1991,00,Derrick McKey,Derrick,derrick-mckey,31,F,6-9,205,"OCT 10, 1966",25.0,4,Alabama,365,,0
1610612760,1991,00,Nate McMillan,Nate,nate-mcmillan,10,G,6-5,195,"AUG 03, 1964",27.0,5,North Carolina State,203,,0
1610612760,1991,00,Gary Payton,Gary,gary-payton,2,G,6-4,190,"JUL 23, 1968",23.0,1,Oregon State,56,,0
1610612760,1991,00,Ricky Pierce,Ricky,ricky-pierce,22,G,6-4,205,"AUG 19, 1959",32.0,9,Rice,894,,0
