TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1610612740,2013,00,Al-Farouq Aminu,Al-Farouq,al-farouq-aminu,0,F,6-9,215,"SEP 21, 1990",23.0,3,Wake Forest,202329,
1610612740,2013,00,Tyreke Evans,Tyreke,tyreke-evans,1,F-G,6-6,220,"SEP 19, 1989",24.0,4,Memphis,201936,
1610612740,2013,00,Darius Miller,Darius,darius-miller,2,F,6-8,225,"MAR 21, 1990",24.0,1,Kentucky,203121,
1610612740,2013,00,Anthony Morrow,Anthony,anthony-morrow,3,G,6-5,210,"SEP 27, 1985",28.0,5,Georgia Tech,201627,
1610612740,2013,00,Melvin Ely,Melvin,melvin-ely,4,C-F,6-10,260,"MAY 02, 1978",36.0,8,Fresno State,2408,
1610612740,2013,00,Jeff Withey,Jeff,jeff-withey,5,C,7-0,235,"MAR 07, 1990",24.0,R,Kansas,203481,
1610612740,2013,00,Luke Babbitt,Luke,luke-babbitt,8,F,6-9,225,"JUN 20, 1989",25.0,3,Nevada,202337,
1610612740,2013,00,Eric Gordon,Eric,eric-gordon,10,G,6-4,215,"DEC 25, 1988",25.0,5,Indiana,201569,
1610612740,2013,00,Jrue Holiday,Jrue,jrue-holiday,11,G,6-4,205,"JUN 12, 1990",24.0,4,UCLA,201950,
1610612740,2013,00,Jason Smith,Jason,jason-smith,14,C-F,7-0,240,"MAR 02, 1986",28.0,5,Colorado State,201160,
1610612740,2013,00,Brian Roberts,Brian,brian-roberts,22,G,6-1,173,"DEC 03, 1985",28.0,1,Dayton,203148,
1610612740,2013,00,Anthony Davis,Anthony,anthony-davis,23,F-C,6-10,220,"MAR 11, 1993",21.0,1,Kentucky,203076,
1610612740,2013,00,Austin Rivers,Austin,austin-rivers,25,G,6-4,200,"AUG 01, 1992",21.0,1,Duke,203085,
1610612740,2013,00,James Southerland,James,james-southerland,31,F,6-8,215,"APR 28, 1990",24.0,R,Syracuse,203480,
1610612740,2013,00,Ryan Anderson,Ryan,ryan-anderson,33,F,6-10,240,"MAY 06, 1988",26.0,5,California,201583,
1610612740,2013,00,Alexis Ajinca,Alexis,alexis-ajinca,42,C,7-2,248,"MAY 06, 1988",26.0,3,Hyeres-Toulon,201582,
