TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1610612763,2003,00,Theron Smith,Theron,theron-smith,0,F,6-8,225,"OCT 03, 1980",23.0,R,Ball State,2604,
1610612763,2003,00,Jason Williams,Jason,jason-williams,2,G,6-1,190,"NOV 18, 1975",28.0,5,Florida,1715,
1610612763,2003,00,Troy Bell,Troy,troy-bell,3,G,6-1,180,"NOV 10, 1980",23.0,R,Boston College,2559,
1610612763,2003,00,Stromile Swift,Stromile,stromile-swift,4,C-F,6-9,230,"NOV 21, 1979",24.0,3,Louisiana State,2031,
1610612763,2003,00,Bonzi Wells,Bonzi,bonzi-wells,6,G-F,6-5,210,"SEP 28, 1976",27.0,5,Ball State,1719,
1610612763,2003,00,Jake Tsakalidis,Jake,jake-tsakalidis,12,C,7-2,290,"JUN 10, 1979",25.0,3,AEK Athens,2054,
1610612763,2003,00,Pau Gasol,Pau,pau-gasol,16,F,7-0,240,"JUL 06, 1980",23.0,2,FC Barcelona,2200,
1610612763,2003,00,Earl Watson,Earl,earl-watson,25,G,6-1,190,"JUN 12, 1979",25.0,2,UCLA,2248,
1610612763,2003,00,Dahntay Jones,Dahntay,dahntay-jones,30,G-F,6-6,210,"DEC 27, 1980",23.0,R,Duke,2563,
1610612763,2003,00,Shane Battier,Shane,shane-battier,31,F-G,6-8,220,"SEP 09, 1978",25.0,2,Duke,2203,
1610612763,2003,00,Mike Miller,Mike,mike-miller,33,G-F,6-8,218,"FEB 19, 1980",24.0,3,Florida,2034,
1610612763,2003,00,Ryan Humphrey,Ryan,ryan-humphrey,40,F,6-8,235,"JUL 24, 1979",24.0,1,Notre Dame,2415,
1610612763,2003,00,James Posey,James,james-posey,41,F,6-8,215,"JAN 13, 1977",27.0,4,Xavier,1899,
1610612763,2003,00,Lorenzen Wright,Lorenzen,lorenzen-wright,42,C,6-11,240,"NOV 04, 1975",28.0,7,Memphis,953,
1610612763,2003,00,Bo Outlaw,Bo,bo-outlaw,45,F,6-8,220,"APR 13, 1971",33.0,10,Houston,448,
