TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1610612744,1988,00,Steve Alford,Steve,steve-alford,4,G,6-2,183,"NOV 23, 1964",24.0,1,Indiana,76024,,0
1610612744,1988,00,Manute Bol,Manute,manute-bol,10,C,7-6,200,"OCT 16, 1962",26.0,3,Bridgeport,76195,,0
1610612744,1988,00,Tellis Frank,Tellis,tellis-frank,32,F,6-10,225,"APR 26, 1965",24.0,1,Western Kentucky,76748,,0
1610612744,1988,00,Winston Garland,Winston,winston-garland,12,G,6-2,170,"DEC 19, 1964",24.0,1,Missouri State,76782,,0
1610612744,1988,00,Orlando Graham,Orlando,orlando-graham,44,F,6-8,220,"MAY 05, 1965",24.0,R,Auburn-Montgomery,76841,,0
1610612744,1988,00,Rod Higgins,Rod,rod-higgins,22,F,6-7,200,"JAN 31, 1960",29.0,6,Fresno State,77019,,0
1610612744,1988,00,Ben McDonald,Ben,ben-mcdonald,30,F,6-8,210,"JUL 20, 1962",26.0,3,California-Irvine,77524,,0
1610612744,1988,00,Chris Mullin,Chris,chris-mullin,17,F,6-6,200,"JUL 30, 1963",25.0,3,St. John's (NY),904,,0
1610612744,1988,00,Mitch Richmond,Mitch,mitch-richmond,23,G,6-5,215,"JUN 30, 1965",24.0,R,Kansas State,782,,0
1610612744,1988,00,Ralph Sampson,Ralph,ralph-sampson,50,C,7-4,228,"JUL 07, 1960",28.0,5,Virginia,78055,,0
1610612744,1988,00,Larry Smith,Larry,larry-smith,13,F,6-8,215,"JAN 18, 1958",31.0,8,Alcorn State,78195,,0
1610612744,1988,00,Otis Smith,Otis,otis-smith,18,F,6-5,210,"JAN 30, 1964",25.0,2,Jacksonville,78198,,0
1610612744,1988,00,John Starks,John,john-starks,30,G,6-3,180,"AUG 10, 1965",23.0,R,Oklahoma State,317,,0
1610612744,1988,00,John Stroeder,John,john-stroeder,25,F,6-10,260,"JUL 24, 1958",30.0,1,Montana,78271,,0
1610612744,1988,00,Terry Teagle,Terry,terry-teagle,20,G,6-5,195,"APR 10, 1960",29.0,6,Baylor,78304,,0
