TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1610612756,2014,00,Eric Bledsoe,Eric,eric-bledsoe,2,G,6-1,195,"DEC 09, 1989",25.0,4,Kentucky,202339,
1610612756,2014,00,Brandon Knight,Brandon,brandon-knight,3,G,6-3,189,"DEC 02, 1991",23.0,3,Kentucky,202688,
1610612756,2014,00,Jerel McNeal,Jerel,jerel-mcneal,8,G,6-3,200,"JUN 01, 1987",28.0,2,Marquette,202077,
1610612756,2014,00,Markieff Morris,Markieff,markieff-morris,11,F,6-10,245,"SEP 02, 1989",25.0,3,Kansas,202693,
1610612756,2014,00,T.J. Warren,T.J.,tj-warren,12,F,6-8,215,"SEP 05, 1993",21.0,R,North Carolina State,203933,
1610612756,2014,00,Gerald Green,Gerald,gerald-green,14,G-F,6-8,210,"JAN 26, 1986",29.0,7,No College,101123,
1610612756,2014,00,Marcus Morris Sr.,Marcus,marcus-morris-sr,15,F,6-9,235,"SEP 02, 1989",25.0,3,Kansas,202694,
1610612756,2014,00,P.J. Tucker,P.J.,pj-tucker,17,F-G,6-6,224,"MAY 05, 1985",30.0,3,Texas,200782,
1610612756,2014,00,Archie Goodwin,Archie,archie-goodwin,20,G,6-5,198,"AUG 17, 1994",20.0,1,Kentucky,203462,
1610612756,2014,00,Alex Len,Alex,alex-len,21,C,7-1,255,"JUN 16, 1993",22.0,1,Maryland,203458,
1610612756,2014,00,Danny Granger,Danny,danny-granger,22,F-G,6-9,222,"APR 20, 1983",32.0,9,New Mexico,101122,
1610612756,2014,00,Marcus Thornton,Marcus,marcus-thornton,23,G,6-4,205,"JUN 05, 1987",28.0,5,Louisiana State,201977,
1610612756,2014,00,Reggie Bullock Jr.,Reggie,reggie-bullock-jr,25,G,6-7,205,"MAR 16, 1991",24.0,1,North Carolina,203493,
1610612756,2014,00,Earl Barron,Earl,earl-barron,30,F-C,7-0,250,"AUG 14, 1981",33.0,7,Memphis,2853,
1610612756,2014,00,Brandan Wright,Brandan,brandan-wright,32,F,6-10,210,"OCT 05, 1987",27.0,6,North Carolina,201148,
