TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1610612742,2001,00,Johnny Newman,Johnny,johnny-newman,2,F,6-7,210,"NOV 28, 1963",38.0,15,Richmond,271,,0
1610612742,2001,00,Michael Finley,Michael,michael-finley,4,G-F,6-7,215,"MAR 06, 1973",29.0,6,Wisconsin,714,,0
1610612742,2001,00,Adrian Griffin,Adrian,adrian-griffin,7,F-G,6-5,215,"JUL 04, 1974",27.0,2,Seton Hall,1559,,0
1610612742,2001,00,Steve Nash,Steve,steve-nash,13,G,6-3,195,"FEB 07, 1974",28.0,5,Santa Clara,959,,0
1610612742,2001,00,Eduardo Najera,Eduardo,eduardo-najera,14,F,6-8,234,"JUL 11, 1976",25.0,1,Oklahoma,2059,,0
1610612742,2001,00,Wang Zhi-zhi,Wang,wang-zhi-zhi,16,C,7-1,220,"JUL 08, 1977",24.0,1,Bayi,1917,,0
1610612742,2001,00,Greg Buckner,Greg,greg-buckner,21,F-G,6-4,210,"SEP 16, 1976",25.0,2,Clemson,1761,,0
1610612742,2001,00,Nick Van Exel,Nick,nick-van-exel,31,G,6-1,195,"NOV 27, 1971",30.0,8,Cincinnati,89,,0
1610612742,2001,00,Dirk Nowitzki,Dirk,dirk-nowitzki,41,C-F,7-0,245,"JUN 19, 1978",24.0,3,DJK Wurzburg,1717,,0
1610612742,2001,00,Evan Eschmeyer,Evan,evan-eschmeyer,42,C,6-11,255,"MAY 30, 1975",27.0,2,Northwestern,1915,,0
1610612742,2001,00,Shawn Bradley,Shawn,shawn-bradley,44,C,7-6,265,"MAR 22, 1972",30.0,8,Brigham Young,762,,0
1610612742,2001,00,Raef LaFrentz,Raef,raef-lafrentz,45,C-F,6-11,245,"MAY 29, 1976",26.0,3,Kansas,1711,,0
