TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED
1610612755,2016,00,Jerryd Bayless,Jerryd,jerryd-bayless,0,G,6-3,200,"AUG 20, 1988",28.0,8,Arizona,201573,
1610612755,2016,00,T.J. McConnell,T.J.,tj-mcconnell,1,G,6-2,200,"MAR 25, 1992",25.0,1,Arizona,204456,
1610612755,2016,00,Alex Poythress,Alex,alex-poythress,5,F,6-7,238,"SEP 06, 1993",23.0,R,Kentucky,1627816,
1610612755,2016,00,Jahlil Okafor,Jahlil,jahlil-okafor,8,C,6-11,275,"DEC 15, 1995",21.0,1,Duke,1626143,
1610612755,2016,00,Dario Šarić,Dario,dario-šarić,9,F,6-10,223,"APR 08, 1994",23.0,R,Anadolu Efes,203967,
1610612755,2016,00,Nik Stauskas,Nik,nik-stauskas,11,G,6-6,205,"OCT 07, 1993",23.0,2,Michigan,203917,
1610612755,2016,00,Gerald Henderson,Gerald,gerald-henderson,12,G,6-5,215,"DEC 09, 1987",29.0,7,Duke,201945,
1610612755,2016,00,Sergio Rodriguez,Sergio,sergio-rodriguez,14,G,6-3,176,"JUN 12, 1986",31.0,4,Estudiantes,200771,
1610612755,2016,00,Timothe Luwawu-Cabarrot,Timothe,timothe-luwawu-cabarrot,20,G-F,6-6,205,"MAY 09, 1995",22.0,R,Mega Basket,1627789,
1610612755,2016,00,Joel Embiid,Joel,joel-embiid,21,C,7-0,250,"MAR 16, 1994",23.0,R,Kansas,203954,#3 Pick in 2014 Draft
1610612755,2016,00,Richaun Holmes,Richaun,richaun-holmes,22,F,6-10,245,"OCT 15, 1993",23.0,1,Bowling Green,1626158,
1610612755,2016,00,Justin Anderson,Justin,justin-anderson,23,G-F,6-6,228,"NOV 19, 1993",23.0,1,Virginia,1626147,
1610612755,2016,00,Ben Simmons,Ben,ben-simmons,25,F,6-10,240,"JUL 20, 1996",20.0,R,Louisiana State,1627732,
1610612755,2016,00,Robert Covington,Robert,robert-covington,33,F,6-9,215,"DEC 14, 1990",26.0,3,Tennessee State,203496,
1610612755,2016,00,Shawn Long,Shawn,shawn-long,36,F,6-9,255,"JAN 29, 1993",24.0,R,Louisiana-Lafayette,1627848,
1610612755,2016,00,Tiago Splitter,Tiago,tiago-splitter,47,C-F,6-11,245,"JAN 01, 1985",32.0,6,Bilbao,201168,
