TeamID,SEASON,LeagueID,PLAYER,NICKNAME,PLAYER_SLUG,NUM,POSITION,HEIGHT,WEIGHT,BIRTH_DATE,AGE,EXP,SCHOOL,PLAYER_ID,HOW_ACQUIRED,SUPPLEMENTAL_STATUS
1610612741,1987,00,Mike Brown,Mike,mike-brown,17,C,6-10,257,"JUL 19, 1963",24.0,1,George Washington,1479,,0
1610612741,1987,00,Dave Corzine,Dave,dave-corzine,40,C,6-11,250,"APR 25, 1956",32.0,9,DePaul,76453,,0
1610612741,1987,00,Horace Grant,Horace,horace-grant,54,F-C,6-10,245,"JUL 04, 1965",22.0,R,Clemson,270,,0
1610612741,1987,00,Michael Jordan,Michael,michael-jordan,23,G,6-6,195,"FEB 17, 1963",25.0,3,North Carolina,893,,0
1610612741,1987,00,Charles Oakley,Charles,charles-oakley,34,F-C,6-9,248,"DEC 18, 1963",24.0,2,Virginia Union,891,,0
1610612741,1987,00,John Paxson,John,john-paxson,5,G,6-2,185,"SEP 29, 1960",27.0,4,Notre Dame,77820,,0
1610612741,1987,00,Scottie Pippen,Scottie,scottie-pippen,33,F-G,6-8,228,"SEP 25, 1965",22.0,R,Central Arkansas,937,,0
1610612741,1987,00,Brad Sellers,Brad,brad-sellers,6,F,7-0,210,"DEC 17, 1962",25.0,1,Ohio State,78110,,0
1610612741,1987,00,Rory Sparrow,Rory,rory-sparrow,2,G,6-2,175,"JUN 12, 1958",30.0,7,Villanova,600009,,0
1610612741,1987,00,Elston Turner,Elston,elston-turner,21,G,6-5,190,"JUN 10, 1959",29.0,6,Mississippi,78378,,0
1610612741,1987,00,Sam Vincent,Sam,sam-vincent,11,G,6-2,185,"MAY 18, 1963",25.0,2,Michigan State,78417,,0
1610612741,1987,00,Granville Waiters,Granville,granville-waiters,31,C,6-11,225,"JAN 08, 1961",27.0,4,Ohio State,78430,,0
